State,Place_Name,Weather,Crowd_Level,Best_Time_To_Visit,Famous_For,Tourism_Type,Budget_Level
Uttar Pradesh,Agra,Pleasant,High,Oct-Mar,Taj Mahal,Historical,Low
Uttar Pradesh,Varanasi,Pleasant,High,Oct-Mar,Ganga Aarti,Religious,Low
Rajasthan,Jaipur,Pleasant,High,Oct-Mar,Pink City,Historical,Medium
Rajasthan,Udaipur,Pleasant,Moderate,Oct-Mar,City of Lakes,Historical,Medium
Goa,Baga Beach,Warm,High,Nov-Feb,Nightlife,Beach,High
Goa,Calangute,Warm,High,Nov-Feb,Beaches,Beach,High
Himachal Pradesh,Manali,Cold,High,Dec-Feb,Snow & Adventure,Hill Station,Medium
Himachal Pradesh,Shimla,Pleasant,High,Mar-Jun,Colonial Town,Hill Station,Medium
Kerala,Munnar,Pleasant,Moderate,Sep-Mar,Tea Gardens,Hill Station,Medium
Kerala,Alleppey,Pleasant,Moderate,Sep-Mar,Backwaters,Nature,Medium
Maharashtra,Mumbai,Pleasant,High,Nov-Feb,Gateway of India,City,High
Maharashtra,Ajanta Caves,Pleasant,Moderate,Oct-Mar,Buddhist Caves,Historical,Low
Karnataka,Mysore,Pleasant,High,Oct-Mar,Mysore Palace,Historical,Low
Karnataka,Hampi,Pleasant,Moderate,Oct-Feb,UNESCO Ruins,Historical,Low
Tamil Nadu,Ooty,Pleasant,High,Mar-Jun,Nilgiri Hills,Hill Station,Medium
Tamil Nadu,Madurai,Pleasant,High,Oct-Mar,Meenakshi Temple,Religious,Low
West Bengal,Darjeeling,Pleasant,High,Mar-May,Tea Gardens,Hill Station,Medium
West Bengal,Sundarbans,Pleasant,Low,Nov-Feb,Mangrove Forest,Wildlife,Medium
Uttarakhand,Nainital,Pleasant,High,Mar-Jun,Lake Town,Hill Station,Medium
Uttarakhand,Rishikesh,Pleasant,Moderate,Oct-Apr,Yoga Capital,Spiritual,Low
Punjab,Amritsar,Pleasant,High,Oct-Mar,Golden Temple,Religious,Low
Gujarat,Statue of Unity,Pleasant,High,Oct-Mar,World's Tallest Statue,Historical,Medium
Odisha,Puri,Pleasant,High,Oct-Mar,Jagannath Temple,Religious,Low
Bihar,Bodh Gaya,Pleasant,High,Oct-Mar,Mahabodhi Temple,Religious,Low
Assam,Kaziranga,Pleasant,Moderate,Nov-Apr,One-horned Rhino,Wildlife,Medium
Meghalaya,Shillong,Pleasant,Moderate,Oct-May,Scotland of East,Hill Station,Medium
Sikkim,Gangtok,Pleasant,Moderate,Mar-Jun,Capital City,Hill Station,Medium
Telangana,Hyderabad,Pleasant,High,Oct-Feb,Charminar,City,Medium
Andhra Pradesh,Visakhapatnam,Pleasant,High,Oct-Mar,Beaches,Beach,Medium
Andhra Pradesh,Tirupati,Pleasant,High,Sep-Mar,Tirumala Temple,Religious,Low
Andhra Pradesh,Araku Valley,Pleasant,Moderate,Oct-Feb,Hill Views,Hill Station,Medium
Arunachal Pradesh,Tawang,Cold,Moderate,Mar-Oct,Monastery,Hill Station,Medium
Arunachal Pradesh,Ziro,Pleasant,Low,Mar-Oct,Music Festival,Nature,Medium
Arunachal Pradesh,Bomdila,Cold,Low,Apr-Oct,Monasteries,Hill Station,Medium
Assam,Guwahati,Pleasant,High,Oct-Apr,Kamakhya Temple,Religious,Low
Assam,Kaziranga,Pleasant,Moderate,Nov-Apr,Wildlife Safari,Wildlife,Medium
Assam,Majuli,Pleasant,Low,Oct-Mar,River Island,Cultural,Low
Bihar,Nalanda,Pleasant,Moderate,Oct-Mar,Ancient University,Historical,Low
Bihar,Rajgir,Pleasant,Moderate,Oct-Mar,Buddhist Sites,Religious,Low
Bihar,Bodh Gaya,Pleasant,High,Oct-Mar,Mahabodhi Temple,Religious,Low
Chhattisgarh,Raipur,Pleasant,Moderate,Oct-Feb,Capital City,City,Low
Chhattisgarh,Chitrakote Falls,Pleasant,Low,Oct-Mar,Waterfall,Nature,Low
Chhattisgarh,Bastar,Pleasant,Low,Oct-Mar,Tribal Culture,Cultural,Low
Goa,Anjuna Beach,Warm,High,Nov-Feb,Beach Parties,Beach,High
Goa,Palolem Beach,Warm,Moderate,Nov-Feb,Scenic Beach,Beach,High
Goa,Old Goa,Pleasant,Moderate,Oct-Mar,Churches,Historical,Medium
Gujarat,Dwarka,Pleasant,High,Oct-Mar,Krishna Temple,Religious,Low
Gujarat,Gir Forest,Pleasant,Moderate,Nov-Mar,Asiatic Lions,Wildlife,Medium
Gujarat,Rann of Kutch,Pleasant,High,Nov-Feb,White Desert,Nature,Medium
Haryana,Kurukshetra,Pleasant,Moderate,Oct-Mar,Mahabharata Land,Religious,Low
Haryana,Panchkula,Pleasant,Moderate,Oct-Mar,Hill Views,City,Medium
Haryana,Surajkund,Pleasant,Low,Feb,Handicraft Fair,Cultural,Low
Himachal Pradesh,Dharamshala,Cold,Moderate,Mar-Jun,Dalai Lama,Hill Station,Medium
Himachal Pradesh,Kasol,Cold,High,Oct-Mar,Trekking,Hill Station,Medium
Himachal Pradesh,Spiti Valley,Cold,Low,May-Oct,Cold Desert,Adventure,Medium
Jharkhand,Netarhat,Pleasant,Low,Oct-Mar,Queen of Chotanagpur,Hill Station,Low
Jharkhand,Baidyanath Dham,Pleasant,High,Oct-Mar,Shiva Temple,Religious,Low
Jharkhand,Hazaribagh,Pleasant,Low,Oct-Feb,Wildlife Sanctuary,Nature,Low
Karnataka,Coorg,Pleasant,Moderate,Oct-Mar,Coffee Plantations,Hill Station,Medium
Karnataka,Gokarna,Warm,Moderate,Oct-Mar,Beaches,Beach,Medium
Karnataka,Badami,Pleasant,Low,Oct-Mar,Cave Temples,Historical,Low
Kerala,Wayanad,Pleasant,Moderate,Oct-Mar,Forests & Hills,Nature,Medium
Kerala,Varkala,Pleasant,Moderate,Oct-Mar,Cliff Beach,Beach,Medium
Kerala,Kovalam,Pleasant,High,Oct-Mar,Beach Resort,Beach,High
Madhya Pradesh,Khajuraho,Pleasant,High,Oct-Mar,Temples,Historical,Medium
Madhya Pradesh,Pachmarhi,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Low
Madhya Pradesh,Kanha,Pleasant,Moderate,Nov-Mar,Tiger Reserve,Wildlife,Medium
Maharashtra,Lonavala,Pleasant,High,Jun-Feb,Hill Views,Hill Station,Medium
Maharashtra,Shirdi,Pleasant,High,Oct-Mar,Sai Baba Temple,Religious,Low
Maharashtra,Tarkarli,Warm,Low,Oct-Mar,Scuba Diving,Beach,Medium
Manipur,Loktak Lake,Pleasant,Low,Oct-Mar,Floating Lake,Nature,Low
